,nav
2020-01-22,164456.43391105687
2020-01-23,164456.43391105687
2020-01-24,164456.43391105687
2020-01-27,164456.43391105687
2020-01-28,164456.43391105687
2020-01-29,164391.54621566608
2020-01-30,164354.4762156661
2020-01-31,163144.6462156661
2020-02-03,163073.8762156661
2020-02-04,163929.85621566608
2020-02-05,164148.9062156661
2020-02-06,164465.6862156661
2020-02-07,164030.95621566608
2020-02-10,164159.01621566608
2020-02-11,163993.88621566608
2020-02-12,164634.1862156661
2020-02-13,164438.7262156661
2020-02-14,164445.4662156661
2020-02-18,163943.3362156661
2020-02-19,164334.25621566607
2020-02-20,164054.54621566608
2020-02-21,163441.20621566608
2020-02-24,162190.9362156661
2020-02-25,161338.32621566608
2020-02-26,161722.50621566607
2020-02-27,160111.6462156661
2020-02-28,160098.1662156661
2020-03-02,162241.48621566608
2020-03-03,161442.79621566608
2020-03-04,162575.1162156661
2020-03-05,161746.0962156661
2020-03-06,161419.20621566608
2020-03-09,159491.5662156661
2020-03-10,161105.79621566608
2020-03-11,160273.4062156661
2020-03-12,157939.97777566608
2020-03-13,157939.97777566608
2020-03-16,157939.97777566608
2020-03-17,157939.97777566608
2020-03-18,157939.97777566608
2020-03-19,157939.97777566608
2020-03-20,157939.97777566608
2020-03-23,157939.97777566608
2020-03-24,157939.97777566608
2020-03-25,157939.97777566608
2020-03-26,157939.97777566608
2020-03-27,157939.97777566608
2020-03-30,157939.97777566608
2020-03-31,157939.97777566608
2020-04-01,157939.97777566608
2020-04-02,157939.97777566608
2020-04-03,157939.97777566608
2020-04-06,157939.97777566608
2020-04-07,157939.97777566608
2020-04-08,157939.97777566608
2020-04-09,157939.97777566608
2020-04-13,157939.97777566608
2020-04-14,157939.97777566608
2020-04-15,157939.97777566608
2020-04-16,157939.97777566608
2020-04-17,157939.97777566608
2020-04-20,157939.97777566608
2020-04-21,157939.97777566608
2020-04-22,157939.97777566608
2020-04-23,157939.97777566608
2020-04-24,157939.97777566608
2020-04-27,157939.97777566608
2020-04-28,157939.97777566608
2020-04-29,157939.97777566608
2020-04-30,157939.97777566608
2020-05-01,157939.97777566608
2020-05-04,157939.97777566608
2020-05-05,157939.97777566608
2020-05-06,157063.8399800749
2020-05-07,157448.6199800749
2020-05-08,158517.09998007488
2020-05-11,157432.7199800749
2020-05-12,154662.85438889253
2020-05-13,153405.37438889252
2020-05-14,153731.55438889252
2020-05-15,154214.5143888925
2020-05-18,158708.75438889253
2020-05-19,157381.10438889253
2020-05-20,157996.38438889253
2020-05-21,158708.10438889253
2020-05-22,159893.67438889254
2020-05-26,162344.42438889254
2020-05-27,163138.69438889253
2020-05-28,163645.61438889254
2020-05-29,164384.36438889254
2020-06-01,164371.94438889253
2020-06-02,165652.7043888925
2020-06-03,167481.90438889252
2020-06-04,167890.38438889253
2020-06-05,171347.41438889253
2020-06-08,170279.19438889253
2020-06-09,168108.21438889252
2020-06-10,165024.11438889254
2020-06-11,160201.46438889252
2020-06-12,162397.80438889252
2020-06-15,163893.72438889253
2020-06-16,164904.36438889254
2020-06-17,164576.75438889253
2020-06-18,163713.56986889252
2020-06-19,164143.13986889253
2020-06-22,164031.66986889252
2020-06-23,163778.13986889253
2020-06-24,162135.9768088925
2020-06-25,162135.9768088925
2020-06-26,162135.9768088925
2020-06-29,162135.9768088925
2020-06-30,162135.9768088925
2020-07-01,162135.9768088925
2020-07-02,162135.9768088925
2020-07-06,162135.9768088925
2020-07-07,162135.9768088925
2020-07-08,162135.9768088925
2020-07-09,162135.9768088925
2020-07-10,162135.9768088925
2020-07-13,162135.9768088925
2020-07-14,162135.9768088925
2020-07-15,162135.9768088925
2020-07-16,162135.9768088925
2020-07-17,162135.9768088925
2020-07-20,162135.9768088925
2020-07-21,162135.9768088925
2020-07-22,162135.9768088925
2020-07-23,162135.9768088925
2020-07-24,162135.9768088925
2020-07-27,162135.9768088925
2020-07-28,162135.9768088925
2020-07-29,162135.9768088925
2020-07-30,163923.52304135743
2020-07-31,163168.1920593935
2020-08-03,164723.9620593935
2020-08-04,164578.11734827014
2020-08-05,167615.9760785912
2020-08-06,165026.933821488
2020-08-07,165311.24077715978
2020-08-10,168168.15610353532
2020-08-11,172197.82980022658
2020-08-12,174492.99186684572
2020-08-13,172247.49230300452
2020-08-14,172871.28110831472
2020-08-17,172011.74828238814
2020-08-18,171654.9038248363
2020-08-19,171418.96773527082
2020-08-20,170054.63001330305
2020-08-21,171135.92065854426
2020-08-24,172971.98967060584
2020-08-25,173440.57704909882
2020-08-26,174596.97279363434
2020-08-27,174362.29690382333
2020-08-28,176629.03937927657
2020-08-31,173368.240219605
2020-09-01,176174.8894244192
2020-09-02,180058.74699332978
2020-09-03,172803.26292594723
2020-09-04,172515.157221882
2020-09-08,169539.56988074433
2020-09-09,172448.33090214452
2020-09-10,170602.11028569262
2020-09-11,172552.9451856926
2020-09-14,174062.13246569264
2020-09-15,174977.32246569265
2020-09-16,174779.54838569264
2020-09-17,175142.49838569263
2020-09-18,174470.54312569264
2020-09-21,174470.54312569264
2020-09-22,174470.54312569264
2020-09-23,174470.54312569264
2020-09-24,174470.54312569264
2020-09-25,174470.54312569264
2020-09-28,174470.54312569264
2020-09-29,174470.54312569264
2020-09-30,174470.54312569264
2020-10-01,174470.54312569264
2020-10-02,174470.54312569264
