date,nav
2022-12-22,154960.36931185963
2022-12-23,154960.36931185963
2022-12-27,154960.36931185963
2022-12-28,154960.36931185963
2022-12-29,154960.36931185963
2022-12-30,154960.36931185963
2023-01-03,154960.36931185963
2023-01-04,154960.36931185963
2023-01-05,154960.36931185963
2023-01-06,154960.36931185963
2023-01-09,154960.36931185963
2023-01-10,154960.36931185963
2023-01-11,154960.36931185963
2023-01-12,154960.36931185963
2023-01-13,154960.36931185963
2023-01-17,154960.36931185963
2023-01-18,154967.547670218
2023-01-19,154585.867670218
2023-01-20,154600.547670218
2023-01-23,154798.72767021798
2023-01-24,154600.547670218
2023-01-25,154549.16767021798
2023-01-26,154600.547670218
2023-01-27,154552.41283538315
2023-01-30,154437.01283538315
2023-01-31,154920.20283538313
2023-02-01,155390.77283538313
2023-02-02,155061.45283538313
2023-02-03,155693.04283538315
2023-02-06,155714.25283538314
2023-02-07,156093.35283538315
2023-02-08,156093.95283538313
2023-02-09,155898.43264519295
2023-02-10,155405.0188814292
2023-02-13,155880.4588814292
2023-02-14,157004.1175100578
2023-02-15,158836.44721976755
2023-02-16,157188.75721976755
2023-02-17,155602.83721976753
2023-02-21,153605.47663918696
2023-02-22,153027.50663918696
2023-02-23,152929.42663918695
2023-02-24,152250.71663918695
2023-02-27,152180.02663918695
2023-02-28,151735.23663918697
2023-03-01,151662.97181618697
2023-03-02,151869.49403118197
2023-03-03,152703.62403118197
2023-03-06,152850.16403118195
2023-03-07,151923.98403118196
2023-03-08,151927.15403118194
2023-03-09,150354.13403118195
2023-03-10,148739.77196718194
2023-03-13,148081.83367318194
2023-03-14,148434.49367318195
2023-03-15,148114.61957318196
2023-03-16,148218.77957318196
2023-03-17,148083.25957318197
2023-03-20,148310.61957318196
2023-03-21,148273.65957318197
2023-03-22,148171.73957318196
2023-03-23,148176.21957318197
2023-03-24,148178.70261318196
2023-03-27,148178.70261318196
2023-03-28,148178.70261318196
2023-03-29,148178.70261318196
2023-03-30,148179.0768774462
2023-03-31,148029.03687744623
2023-04-03,147974.5868774462
2023-04-04,147794.2968774462
2023-04-05,147698.7068774462
2023-04-06,147697.49687744622
2023-04-10,147645.46687744622
2023-04-11,147653.93687744622
2023-04-12,147765.25687744623
2023-04-13,147941.91687744623
2023-04-14,147905.6168774462
2023-04-17,148008.46687744622
2023-04-18,147944.3368774462
2023-04-19,147776.1468774462
2023-04-20,147914.0868774462
2023-04-21,147944.3368774462
2023-04-24,147886.25687744623
2023-04-25,147555.9268774462
2023-04-26,147332.0768774462
2023-04-27,147670.87687744622
2023-04-28,148003.74036181334
2023-05-01,148568.61764963885
2023-05-02,147501.13481998487
2023-05-03,146829.40747967467
2023-05-04,145088.68921201877
2023-05-05,146616.55904927562
2023-05-08,146234.48902118625
2023-05-09,145365.95927455704
2023-05-10,145782.96671766884
2023-05-11,144890.42742506228
2023-05-12,144827.34877213847
2023-05-15,144851.55630814921
2023-05-16,142893.62995561014
2023-05-17,144148.85392472637
2023-05-18,145332.62785600076
2023-05-19,145465.2572206248
2023-05-22,145341.8546486033
2023-05-23,143525.4770784129
2023-05-24,141575.48696305644
2023-05-25,142526.417752241
2023-05-26,144343.72438554178
2023-05-30,143945.164325117
2023-05-31,142813.8717970408
2023-06-01,143838.81490128886
2023-06-02,147590.7668727244
2023-06-05,147638.25959061988
2023-06-06,147489.21368546854
2023-06-07,148728.8545668162
2023-06-08,149052.8583143748
2023-06-09,149424.04420365702
2023-06-12,150090.00692974345
2023-06-13,151044.38551881572
2023-06-14,150857.87814210673
2023-06-15,151609.8959003953
2023-06-16,151609.8959003953
2023-06-20,151609.8959003953
2023-06-21,151609.8959003953
2023-06-22,151609.8959003953
2023-06-23,151609.8959003953
2023-06-26,151609.8959003953
2023-06-27,151609.8959003953
2023-06-28,151609.8959003953
2023-06-29,151609.8959003953
2023-06-30,151609.8959003953
2023-07-03,151609.8959003953
2023-07-05,151609.8959003953
2023-07-06,151609.8959003953
2023-07-07,151609.8959003953
2023-07-10,151609.8959003953
2023-07-11,151609.8959003953
2023-07-12,151609.8959003953
2023-07-13,151609.8959003953
2023-07-14,151609.8959003953
2023-07-17,151609.8959003953
2023-07-18,151609.8959003953
2023-07-19,151609.8959003953
2023-07-20,151609.8959003953
2023-07-21,151689.00968417907
2023-07-24,151296.85968417907
2023-07-25,150831.33968417908
2023-07-26,150606.24508958447
2023-07-27,150922.81563012503
2023-07-28,151267.07399849338
2023-07-31,150727.6700345294
2023-08-01,151209.70995444932
2023-08-02,149929.99995444936
2023-08-03,149727.71548998487
2023-08-04,149363.09992680373
2023-08-07,151876.2575196434
2023-08-08,151951.91387381477
2023-08-09,150688.77898902283
2023-08-10,150441.5428649726
2023-08-11,149303.5725198833
2023-08-14,149783.02590857854
2023-08-15,148626.2303605785
2023-08-16,147246.31036057853
2023-08-17,146116.21036057852
2023-08-18,146183.4503605785
2023-08-21,146550.7303605785
2023-08-22,146286.38036057854
2023-08-23,148142.19036057853
2023-08-24,145839.36036057852
2023-08-25,146657.02036057852
2023-08-28,147439.38036057854
2023-08-29,149636.87036057853
2023-08-30,150057.81036057853
2023-08-31,150632.88036057854
2023-09-01,150416.68036057852
2023-09-05,148624.41036057853
2023-09-06,148811.02036057855
2023-09-07,148159.01001557853
2023-09-08,147972.29555557852
2023-09-11,148055.5052555785
2023-09-12,147414.4961755785
2023-09-13,146556.51449557854
2023-09-14,147192.35449557853
2023-09-15,146684.12069557852
2023-09-18,146904.78423557855
2023-09-19,146904.78423557855
2023-09-20,146904.78423557855
2023-09-21,146904.78423557855
2023-09-22,146904.78423557855
2023-09-25,146904.78423557855
2023-09-26,146904.78423557855
2023-09-27,146904.78423557855
2023-09-28,146904.78423557855
2023-09-29,146904.78423557855
2023-10-02,146904.78423557855
2023-10-03,146904.78423557855
2023-10-04,146904.78423557855
2023-10-05,146904.78423557855
2023-10-06,146904.78423557855
2023-10-09,146904.78423557855
2023-10-10,146904.78423557855
2023-10-11,146904.78423557855
2023-10-12,146904.78423557855
2023-10-13,146904.78423557855
2023-10-16,146904.78423557855
2023-10-17,146904.78423557855
2023-10-18,146904.78423557855
2023-10-19,146904.78423557855
2023-10-20,146904.78423557855
2023-10-23,146904.78423557855
2023-10-24,146904.78423557855
2023-10-25,146904.78423557855
2023-10-26,146904.78423557855
2023-10-27,146236.85943077377
2023-10-30,146390.22943077376
2023-10-31,148324.5645124511
2023-11-01,150684.85690641732
2023-11-02,151434.17491911264
2023-11-03,152504.65826335707
2023-11-06,151496.64951712775
2023-11-07,151701.86210062978
2023-11-08,151821.30470986667
2023-11-09,150363.62358478713
2023-11-10,152776.7856489335
2023-11-13,153666.9953942075
2023-11-14,158249.24865395043
2023-11-15,159158.91978291867
2023-11-16,159807.9272882381
2023-11-17,161235.5628201829
2023-11-20,162452.13656418346
2023-11-21,161895.88726035785
2023-11-22,162836.63570937078
2023-11-24,163560.45971872285
2023-11-27,164544.2854845866
2023-11-28,162952.2860488377
2023-11-29,164163.3686769846
2023-11-30,165436.475258559
2023-12-01,167317.39352781934
2023-12-04,167419.3499885551
2023-12-05,166455.72569533717
2023-12-06,166661.14110215032
2023-12-07,168098.2379666903
2023-12-08,169138.07417458255
2023-12-11,170514.6316118482
2023-12-12,171337.27978567634
2023-12-13,171416.4263024683
2023-12-14,173066.8702724683
2023-12-15,172884.78027246828
2023-12-18,173197.76770246832
2023-12-19,173197.76770246832
2023-12-20,173197.76770246832
2023-12-21,173197.76770246832
2023-12-22,173197.76770246832
2023-12-26,173197.76770246832
2023-12-27,173197.76770246832
2023-12-28,173197.76770246832
2023-12-29,173197.76770246832
2024-01-02,173197.76770246832
2024-01-03,173197.76770246832
2024-01-04,173197.76770246832
2024-01-05,173197.76770246832
2024-01-08,173197.76770246832
2024-01-09,173197.76770246832
2024-01-10,173197.76770246832
2024-01-11,173197.76770246832
2024-01-12,173197.76770246832
2024-01-16,173197.76770246832
2024-01-17,173197.76770246832
2024-01-18,173197.76770246832
2024-01-19,173197.76770246832
2024-01-22,173197.76770246832
2024-01-23,173197.76770246832
2024-01-24,173197.76770246832
2024-01-25,173145.413368134
2024-01-26,172787.813368134
2024-01-29,172734.17336813398
2024-01-30,172820.593368134
2024-01-31,172934.77228705288
2024-02-01,173142.9522870529
2024-02-02,173878.30018495081
2024-02-05,173436.33018495078
2024-02-06,172538.8501849508
2024-02-07,172928.04090567154
2024-02-08,172671.59090567153
2024-02-09,173365.65090567153
2024-02-12,173609.98090567155
2024-02-13,172905.2909056715
2024-02-14,173555.41240717302
2024-02-15,175211.08210687272
2024-02-16,175820.2421068727
2024-02-20,174675.9421068727
2024-02-21,174456.08210687272
2024-02-22,177233.1840888547
2024-02-23,177526.0440888547
2024-02-26,177333.7840888547
2024-02-27,178264.2040888547
2024-02-28,177142.4540888547
2024-02-29,178026.4740888547
2024-03-01,179568.5640888547
2024-03-04,180877.0640888547
2024-03-05,181397.7740888547
2024-03-06,182874.9640888547
2024-03-07,184383.30408885473
2024-03-08,183305.23562885472
2024-03-11,181780.0556288547
2024-03-12,184479.20562885472
